Text,Label
There's a fire in my building.,Fire Department
There's a fire in my building.,Fire Department
There's a fire Hoosier State my building.,Fire Department
There's antiophthalmic factor fire in my building.,Fire Department
There's a firing atomic number 49 my building.,Fire Department
There's a go off in my building.,Fire Department
There's a send away IN my building.,Fire Department
There's a fire atomic number 49 my building.,Fire Department
I see smoke coming out of a house.,Fire Department
I see smoke coming come out of a house.,Fire Department
I see smoke coming out of a house.,Fire Department
I see smoke coming out of ampere house.,Fire Department
iodin see fastball coming out of a house.,Fire Department
i get a line smoke coming out of a house.,Fire Department
I see weed coming out of a house.,Fire Department
I realize Mary Jane coming extinct of a house.,Fire Department
unity assure smoke coming out of a house.,Fire Department
I look smoke coming out of a house.,Fire Department
I experience gage coming out of a house.,Fire Department
A fire broke out in the factory.,Fire Department
A fire broke out in the factory.,Fire Department
angstrom fire broke stunned inwards the factory.,Fire Department
A fire broke out inward the factory.,Fire Department
adenine fire broke out In the factory.,Fire Department
A fire founder out in the factory.,Fire Department
A burn down skint out in the factory.,Fire Department
angstrom fire intermit stunned in the factory.,Fire Department
A fire discover stunned in the factory.,Fire Department
A flame broke taboo in the factory.,Fire Department
The forest nearby is on fire.,Fire Department
The woodland nearby is on fire.,Fire Department
The timber nearby is on fire.,Fire Department
The forest nearby is on fire.,Fire Department
The woods nearby is on fire.,Fire Department
The forest nearby constitute on fire.,Fire Department
The forest nearby be on fire.,Fire Department
The forest nearby live on fire.,Fire Department
There's a huge fire in the neighborhood.,Fire Department
There's a huge fire atomic number 49 the neighborhood.,Fire Department
There's amp vast fire in the neighborhood.,Fire Department
There's angstrom unit huge fire in the neighborhood.,Fire Department
There's a huge fervidness In the neighborhood.,Fire Department
There's type A huge fire in the neighborhood.,Fire Department
There's angstrom huge fire in the neighborhood.,Fire Department
There's ampere huge terminate in the neighborhood.,Fire Department
There's a huge fire in the neighborhood.,Fire Department
There was an accident on the highway.,Emergency Medical Services
There comprise an accident on the highway.,Emergency Medical Services
in that respect was an accident along the highway.,Emergency Medical Services
There Evergreen State an accident on the highway.,Emergency Medical Services
on that point was AN accident on the highway.,Emergency Medical Services
in that location WA an accident on the highway.,Emergency Medical Services
There was Associate in Nursing accident on the highway.,Emergency Medical Services
There was an accident on the highway.,Emergency Medical Services
on that point was an accident on the highway.,Emergency Medical Services
thither was Associate in Nursing accident along the highway.,Emergency Medical Services
We need an ambulance immediately.,Emergency Medical Services
We need an ambulance immediately.,Emergency Medical Services
We postulate AN ambulance immediately.,Emergency Medical Services
We postulate an ambulance immediately.,Emergency Medical Services
We need Associate in Nursing ambulance immediately.,Emergency Medical Services
Someone is unconscious and needs help.,Emergency Medical Services
somebody exist unconscious and motivation help.,Emergency Medical Services
someone is unconscious and demand help.,Emergency Medical Services
Someone is unconscious mind and needs help.,Emergency Medical Services
individual is unconscious and needs help.,Emergency Medical Services
Someone be unconscious and needs help.,Emergency Medical Services
somebody is unconscious and postulate help.,Emergency Medical Services
Someone is unconscious and needs help.,Emergency Medical Services
A person just collapsed here.,Emergency Medical Services
A person just collapsed here.,Emergency Medical Services
A person exactly give here.,Emergency Medical Services
axerophthol someone just collapsed here.,Emergency Medical Services
angstrom someone just collapsed here.,Emergency Medical Services
type A person scarcely collapsed here.,Emergency Medical Services
A person fair collapsed here.,Emergency Medical Services
angstrom unit person just collapsed here.,Emergency Medical Services
There's been a medical emergency.,Emergency Medical Services
There's been a medical emergency.,Emergency Medical Services
There's been a checkup emergency.,Emergency Medical Services
There's be a medical emergency.,Emergency Medical Services
There's follow a medical emergency.,Emergency Medical Services
There's been vitamin A medical emergency.,Emergency Medical Services
There's been a aesculapian emergency.,Emergency Medical Services
I need to report a theft.,Police Department
one postulate to paper a theft.,Police Department
I need to report a theft.,Police Department
single want to report a theft.,Police Department
ane need to report a theft.,Police Department
I need to paper type A theft.,Police Department
atomic number 53 need to report a theft.,Police Department
i need to report a theft.,Police Department
I need to news report A theft.,Police Department
There's a suspicious activity happening nearby.,Police Department
There's a suspect activity happening nearby.,Police Department
There's a suspicious natural process happening nearby.,Police Department
There's angstrom funny bodily process happening nearby.,Police Department
There's a suspicious activity happening nearby.,Police Department
There's a shady activity materialize nearby.,Police Department
There's angstrom suspicious activity happening nearby.,Police Department
There's group A suspicious activity happening nearby.,Police Department
There's a funny activity happening nearby.,Police Department
I want to report a burglary.,Police Department
iodine want to report a burglary.,Police Department
I want to report a burglary.,Police Department
I neediness to composition a burglary.,Police Department
iodin want to report a burglary.,Police Department
ace want to report a burglary.,Police Department
I want to report type A burglary.,Police Department
I want to report axerophthol burglary.,Police Department
Someone is trying to break into my house.,Police Department
someone cost hear to break into my house.,Police Department
Someone embody trying to let out into my house.,Police Department
Someone constitute trying to break into my house.,Police Department
someone is trying to breakage into my house.,Police Department
individual is trying to break into my house.,Police Department
Someone embody assay to give into my house.,Police Department
Someone is trying to go into my house.,Police Department
Someone is trying to kick downstairs into my house.,Police Department
Someone embody trying to break into my house.,Police Department
Someone embody assay to break into my house.,Police Department
There has been a violent altercation.,Police Department
There has been a violent altercation.,Police Department
There let been a violent altercation.,Police Department
There has been deoxyadenosine monophosphate crimson altercation.,Police Department
There has been a vehement altercation.,Police Department
There has been vitamin A violent altercation.,Police Department
There has been angstrom unit violent altercation.,Police Department
There's a power outage in our area.,Electricity Board
There's adenine mogul outage Indiana our area.,Electricity Board
There's a power outage in our area.,Electricity Board
There's adenine power outage in our area.,Electricity Board
There's adenine power outage indium our area.,Electricity Board
There's antiophthalmic factor power outage in our area.,Electricity Board
The street lights are not working.,Electricity Board
The street lights constitute non working.,Electricity Board
The street lights represent not working.,Electricity Board
The street sparkle are not working.,Electricity Board
The street spark are non working.,Electricity Board
The street dismount are not working.,Electricity Board
The street lights are non working.,Electricity Board
The street lights are not working.,Electricity Board
The transformer is sparking.,Electricity Board
The transformer is sparking.,Electricity Board
The transformer cost sparking.,Electricity Board
The transformer represent sparking.,Electricity Board
We are experiencing frequent voltage fluctuations.,Electricity Board
We ar experiencing buy at voltage fluctuations.,Electricity Board
We are experiencing shop at voltage fluctuations.,Electricity Board
We are have frequent emf fluctuations.,Electricity Board
We are experiencing frequent electromotive force fluctuations.,Electricity Board
We are experiencing frequent voltage fluctuations.,Electricity Board
We are live frequent voltage fluctuations.,Electricity Board
An electric pole has fallen near my house.,Electricity Board
Associate in Nursing electric pole ingest fallen approximate my house.,Electricity Board
An electric pole has settle near my house.,Electricity Board
An electric celestial pole has fall down almost my house.,Electricity Board
An galvanic pole has fallen near my house.,Electricity Board
An electric pole has fallen near my house.,Electricity Board
An electrical terminal own decrease near my house.,Electricity Board
An electric pole has precipitate virtually my house.,Electricity Board
Associate in Nursing electric celestial pole HA fallen near my house.,Electricity Board
An galvanising perch make fallen near my house.,Electricity Board
An electric pole throw fallen near my house.,Electricity Board
Our house is flooded due to heavy rain.,Disaster Management Authority
Our house constitute inundate due to dense rain.,Disaster Management Authority
Our house is afloat due to laborious rain.,Disaster Management Authority
Our theatre is afloat due to heavy rain.,Disaster Management Authority
Our star sign is awash due to heavy rain.,Disaster Management Authority
Our house is inundate due to heavy rain.,Disaster Management Authority
Our house is flooded due to sonorous rain.,Disaster Management Authority
Our house live flooded referable to grievous rain.,Disaster Management Authority
Our house is flooded due to heavy rain.,Disaster Management Authority
There's been a landslide on the main road.,Disaster Management Authority
There's been a landslide along the independent road.,Disaster Management Authority
There's comprise a landslide on the main road.,Disaster Management Authority
There's embody ampere landslide along the main road.,Disaster Management Authority
There's been a landslip on the main road.,Disaster Management Authority
There's been antiophthalmic factor landslide on the chief road.,Disaster Management Authority
There's been a landslide on the main road.,Disaster Management Authority
There's been a landslide along the main road.,Disaster Management Authority
The cyclone has caused significant damage in our area.,Disaster Management Authority
The cyclone suffer caused pregnant damage in our area.,Disaster Management Authority
The cyclone hour angle do significant damage in our area.,Disaster Management Authority
The cyclone has induce significant damage in our area.,Disaster Management Authority
The cyclone has caused substantial damage in our area.,Disaster Management Authority
The cyclone has caused significant price atomic number 49 our area.,Disaster Management Authority
The cyclone cause induce significant damage inward our area.,Disaster Management Authority
The cyclone consume caused pregnant hurt in our area.,Disaster Management Authority
The cyclone sustain caused significant price in our area.,Disaster Management Authority
The cyclone has have significant scathe in our area.,Disaster Management Authority
The cyclone make caused significant damage in our area.,Disaster Management Authority
We need help as the flood water is rising.,Disaster Management Authority
We need help equally the flood weewee is rising.,Disaster Management Authority
We need help as the flood pee represent rising.,Disaster Management Authority
We need help as the flood water embody rising.,Disaster Management Authority
We pauperization aid as the photoflood water supply is rising.,Disaster Management Authority
We need help as the overflow piss is rising.,Disaster Management Authority
We need help as the flood pee is rising.,Disaster Management Authority
We take help as the rising tide piss is rising.,Disaster Management Authority
We need help as the flood lamp water live rising.,Disaster Management Authority
We need help oneself as the flood water supply is rising.,Disaster Management Authority
We need help as the flood water is rising.,Disaster Management Authority
The river is overflowing and threatening nearby villages.,Disaster Management Authority
The river is overflowing and forbidding nearby villages.,Disaster Management Authority
The river personify overflowing and threatening nearby villages.,Disaster Management Authority
The river live afloat and minatory nearby villages.,Disaster Management Authority
The river follow spill over and heavy nearby villages.,Disaster Management Authority
The river comprise overflowing and heavy nearby villages.,Disaster Management Authority
The river comprise overflowing and endanger nearby villages.,Disaster Management Authority
The river is inundated and threatening nearby villages.,Disaster Management Authority
The river personify awash and threatening nearby villages.,Disaster Management Authority
The river is overflowing and threatening nearby villages.,Disaster Management Authority
